"","SMILES1","SMILES2","Similarity","Activity.Difference","Max.Values","SALI"
"CHEMBL464929_CHEMBL449867","COc1cc(C#N)ccc1Oc1ccc(C)cc1","COc1cc(C#N)ccc1Oc1ccccc1C",0.97247706,2.04," 7.32","74.1199886349351"
"CHEMBL465539_CHEMBL513195","Cc1ccc(Oc2ccc(C#N)c(C(F)(F)F)c2)cc1","CCc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1",0.96363636,2.43," 7.70","66.8249933175006"
"CHEMBL4747667_CHEMBL4751646","Cc1cnn(C[C@](C)(O)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c1","C[C@](O)(Cn1cc(C(F)(F)F)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1",0.99367089,2.06," 7.15","325.480201797724"
"CHEMBL4747667_CHEMBL4776248","Cc1cnn(C[C@](C)(O)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c1","C[C@](O)(Cn1cc(C#N)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1",1,2.28," 7.37","228"
"CHEMBL4776221_CHEMBL4778795","CC(C)(C)OC(=O)Nc1cnn(C[C@](C)(O)C(=O)Nc2cnc(C#N)c(C(F)(F)F)c2)c1","C[C@](O)(Cn1cc(C#N)cn1)C(=O)Nc1cnc(C#N)c(C(F)(F)F)c1",0.95783133,2.02," 7.23","47.9028624806047"
"CHEMBL4778019_CHEMBL4776248","C[C@](O)(Cn1ccc(-c2ccccc2)n1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1","C[C@](O)(Cn1cc(C#N)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1",0.96319018,2.05," 7.37","55.691660540584"
"CHEMBL4784244_CHEMBL4794467","C[C@](O)(Cn1cc(C#N)c(Br)n1)C(=O)Nc1cnc(C#N)c(C(F)(F)F)c1","C[C@](O)(Cn1cc(Br)c(F)n1)C(=O)Nc1cnc(C#N)c(C(F)(F)F)c1",0.96449704,2.2," 7.46","61.9666641880002"
"CHEMBL4800363_CHEMBL4776248","C[C@](O)(Cn1cc(F)cn1)C(=O)Nc1cc(C(F)(F)F)c(C#N)cc1I","C[C@](O)(Cn1cc(C#N)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1",0.95679012,2.11," 7.37","48.8314246649146"
"CHEMBL507267_CHEMBL471644","CC(C)c1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1","Cc1cccc(C)c1Oc1ccc(C#N)c(C(F)(F)F)c1",0.97368421,2.36," 8.00","89.6799982064002"
"CHEMBL507267_CHEMBL513195","CC(C)c1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1","CCc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1",0.98214286,2.06," 7.70","115.360018457603"
"CHEMBL6530_CHEMBL2112311","CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21","CC[C@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C",0.96685083,2.14," 8.70","64.5566691413391"
"CHEMBL6530_CHEMBL2112312","CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21","CC[C@@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C",0.96685083,2.96," 9.52","89.2933367562447"
"CHEMBL6530_CHEMBL267270","CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21","O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F",0.95054945,2.14," 8.70","43.2755550747161"
"CHEMBL6530_CHEMBL415289","CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21","CC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21",0.96132597,2.44," 9.00","63.0914337088738"
"CHEMBL6530_CHEMBL6843","CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21","CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21",0.96132597,2.44," 9.00","63.0914337088738"
